COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Croatia,HRV,EURO,REPORTING,2023-05-14,5432534,2320087,133.9,57.205,2246484,55.357,,2020-12-23,6,994329,24.502
Cuba,CUB,AMRO,REPORTING,2023-05-05,38066013,10736398,336.076,94.789,10013394,88.406,,,3,8724326,77.025
Curaçao,CUW,AMRO,REPORTING,2023-05-05,260324,108601,158.644,66.183,100885,61.48,,2021-02-24,3,43138,26.289
Cyprus,CYP,EURO,REPORTING,2023-05-14,1858796,669185,209.3,75.366,656113,73.886,,2020-12-23,5,487363,54.883
Czechia,CZE,EURO,REPORTING,2023-05-14,18614118,6972084,174.1,65.197,6887797,64.408,,2020-12-23,9,4365578,40.823
Democratic Republic of the Congo,COD,AFRO,REPORTING,2023-04-16,16398195,15388889,18.309,17.183,12873681,14.374,,2021-04-19,1,,
Denmark,DNK,EURO,REPORTING,2023-05-14,15002820,4771581,257.7,81.947,4736323,81.342,,2020-12-16,5,3638964,62.495
Djibouti,DJI,EMRO,REPORTING,2023-04-18,392703,372077,39.747,37.66,351712,35.598,,2021-03-15,11,,
Dominica,DMA,AMRO,REPORTING,2023-05-05,67647,32995,93.966,45.832,30659,42.587,,2021-02-12,5,3993,5.547
Dominican Republic,DOM,AMRO,REPORTING,2023-05-05,15964027,7319510,147.162,67.474,6092990,56.167,,2021-02-16,5,2551527,23.521
Ecuador,ECU,AMRO,REPORTING,2023-02-24,39495110,15329151,223.856,86.885,14233323,80.674,,2021-01-20,4,7708466,43.691
Egypt,EGY,EMRO,REPORTING,2023-05-21,112673535,56907319,110.103,55.609,42337175,41.371,,2021-01-24,10,15217352,14.87
El Salvador,SLV,AMRO,REPORTING,2023-05-05,11418655,4655023,176.045,71.768,4392340,67.718,,2021-02-17,6,1895934,29.23
Equatorial Guinea,GNQ,AFRO,REPORTING,2022-07-24,488738,270109,34.836,19.252,214032,15.255,,2021-02-12,2,4597,0.328
Eritrea,ERI,AFRO,REPORTING,2022-07-03,,0,,0,0,0,,,,,
Estonia,EST,EURO,REPORTING,2023-04-16,2204078,845066,165.8,63.588,842103,63.365,,2020-12-23,9,487178,36.658
Eswatini,SWZ,AFRO,REPORTING,2023-05-21,867487,526050,74.773,45.343,426134,36.73,,2021-03-19,3,177344,15.286
Ethiopia,ETH,AFRO,REPORTING,2023-05-07,54041862,44073766,47.008,38.337,37637944,32.739,,2021-03-13,4,2855358,2.484
Falkland Islands (Malvinas),FLK,AMRO,REPORTING,2022-06-21,9390,3220,269.595,92.449,2976,85.444,,,1,2543,73.012
Faroe Islands,FRO,EURO,OWID,2022-02-18,103894,41715,212.614,85.368,40895,83.69,,,2,21284,43.557
Fiji,FJI,WPRO,REPORTING,2023-03-23,1554370,711950,173.393,79.419,641068,71.512,,2021-03-07,3,171594,19.142
Finland,FIN,EURO,REPORTING,2023-05-14,13261002,4547283,240,82.299,4364702,78.995,,2020-12-23,5,3087911,55.887
France,FRA,EURO,REPORTING,2023-05-14,158014193,54673588,234.7,81.214,53184085,79.002,,2020-12-23,9,41033495,60.953
French Guiana,GUF,AMRO,REPORTING,2023-05-05,242092,100271,81.053,33.571,90446,30.282,,2021-01-13,3,46312,15.505
French Polynesia,PYF,WPRO,REPORTING,2023-01-31,471948,190908,168.008,67.961,186803,66.5,,2021-01-18,2,81177,28.898
Gabon,GAB,AFRO,REPORTING,2023-02-05,572672,311244,25.73,13.984,257471,11.568,,2021-03-23,3,2592,0.116
Gambia,GMB,AFRO,REPORTING,2023-03-19,1444492,674314,59.772,27.903,539186,22.311,,2021-03-10,2,53741,2.224
Georgia,GEO,EURO,REPORTING,2023-04-16,2738178,1300473,68.6,32.6,1186709,29.748,,2021-03-17,4,250996,6.292
Germany,DEU,EURO,REPORTING,2023-05-14,193232623,64867380,232.3,77.997,63564301,76.43,,2020-12-23,9,52141945,62.696
Ghana,GHA,AFRO,REPORTING,2023-03-26,22384226,13221421,72.038,42.55,10170298,32.73,,2021-03-02,2,4062970,13.076
Gibraltar,GIB,EURO,OWID,2022-12-16,132810,42175,394.2,125.182,41465,123.074,,,2,49170,145.944
Greece,GRC,EURO,REPORTING,2023-05-14,21982946,7916291,205.1,73.856,7744496,72.253,,2020-12-23,7,5902227,55.065
Greenland,GRL,EURO,OWID,2022-03-14,79738,41227,140.453,72.619,38511,67.834,,,1,,
Grenada,GRD,AMRO,REPORTING,2023-05-05,90686,44241,80.593,39.317,39034,34.69,,2021-02-15,5,7411,6.586
Guadeloupe,GLP,AMRO,REPORTING,2023-05-05,399976,152096,99.963,38.012,146069,36.506,,2021-01-08,7,88977,22.237
Guam,GUM,WPRO,REPORTING,2023-01-31,352698,135612,208.975,80.351,128788,76.308,,2021-01-04,3,83603,49.535
Guatemala,GTM,AMRO,REPORTING,2023-05-05,20357782,8932924,113.632,49.861,7125460,39.772,,2021-02-25,5,3715127,20.737
Guernsey,GGY,EURO,OWID,2022-12-19,178525,54223,276.92,84.108,52710,81.761,,,3,69339,107.556
